date,srtg_price_idr,TBIG,MDKA,ADRO,AADI,MPMX,AGII,NRCA,jci_idx,nav_idr_bn,nav_per_share_idr,discount_to_nav_pct
2025-11-03,1735.0,2250.0,2420.0,1940.0,8325.0,970.0,1200.0,745.0,,65072.93,4802.43,63.87
2025-11-04,1690.0,2140.0,2420.0,1905.0,8275.0,970.0,1100.0,690.0,,64022.53,4724.91,64.23
2025-11-05,1645.0,2200.0,2430.0,1890.0,8225.0,960.0,1130.0,680.0,,64350.44,4749.11,65.36
2025-11-06,1695.0,2180.0,2430.0,1920.0,8675.0,970.0,1250.0,675.0,,64943.79,4792.9,64.64
2025-11-07,1675.0,2200.0,2420.0,1945.0,8525.0,965.0,1350.0,840.0,,65023.6,4798.79,65.1
2025-11-10,1675.0,2220.0,2500.0,1960.0,8725.0,970.0,1335.0,1020.0,,65887.69,4862.56,65.55
2025-11-11,1670.0,2220.0,2500.0,1950.0,8700.0,965.0,1440.0,920.0,,65815.2,4857.21,65.62
2025-11-12,1670.0,2230.0,2420.0,1965.0,8700.0,970.0,1405.0,935.0,,65583.76,4840.13,65.5
2025-11-13,1640.0,2170.0,2460.0,1930.0,8750.0,965.0,1400.0,1040.0,,65238.51,4814.65,65.94
2025-11-14,1605.0,2000.0,2410.0,1880.0,8700.0,965.0,1345.0,985.0,,63465.63,4683.81,65.73
2025-11-17,1600.0,2000.0,2260.0,1910.0,8750.0,970.0,1305.0,1165.0,,62985.14,4648.35,65.58
2025-11-18,1595.0,1995.0,2170.0,1880.0,8000.0,965.0,1265.0,1160.0,,61468.49,4536.42,64.84
2025-11-19,1605.0,2000.0,2240.0,1920.0,7850.0,965.0,1300.0,1220.0,,61867.94,4565.9,64.85
2025-11-20,1600.0,1985.0,2170.0,1905.0,7725.0,970.0,1365.0,1095.0,,61224.46,4518.41,64.59
2025-11-21,1600.0,1985.0,2270.0,1870.0,7650.0,965.0,1400.0,1110.0,,61442.61,4534.51,64.72
2025-11-24,1595.0,1980.0,2300.0,1875.0,7750.0,965.0,1370.0,1250.0,,61702.5,4553.69,64.97
2025-11-25,1580.0,1985.0,2300.0,1855.0,7675.0,965.0,1390.0,1560.0,,61606.84,4546.63,65.25
2025-11-26,1595.0,1985.0,2340.0,1845.0,7750.0,960.0,1580.0,1560.0,,61882.85,4567.0,65.08
2025-11-27,1590.0,1990.0,2350.0,1810.0,7425.0,960.0,1525.0,1790.0,,61432.58,4533.77,64.93
2025-11-28,1590.0,1985.0,2280.0,1810.0,7500.0,960.0,1580.0,1790.0,,61171.2,4514.48,64.78
2025-12-01,1600.0,1980.0,2310.0,1820.0,7425.0,960.0,1550.0,1790.0,,61227.17,4518.61,64.59
2025-12-02,1585.0,1980.0,2280.0,1840.0,7600.0,960.0,1570.0,1790.0,,61393.42,4530.88,65.02
2025-12-03,1595.0,1975.0,2260.0,1850.0,7600.0,960.0,1570.0,1790.0,,61310.77,4524.78,64.75
2025-12-04,1595.0,1975.0,2250.0,1810.0,7525.0,960.0,1560.0,1790.0,,60981.37,4500.47,64.56
2025-12-05,1585.0,1985.0,2230.0,1815.0,7450.0,960.0,1555.0,1790.0,,60891.8,4493.86,64.73
2025-12-08,1585.0,1985.0,2330.0,1900.0,7575.0,960.0,1715.0,1790.0,,61966.05,4573.14,65.34
2025-12-09,1555.0,1980.0,2240.0,1835.0,7425.0,960.0,1700.0,1790.0,,61013.48,4502.84,65.47
2025-12-10,1510.0,1935.0,2280.0,1830.0,7375.0,950.0,1630.0,1790.0,,60751.43,4483.5,66.32
2025-12-11,1505.0,1925.0,2200.0,1780.0,7075.0,955.0,1595.0,1965.0,,59737.07,4408.64,65.86
2025-12-12,1460.0,1900.0,2250.0,1780.0,7125.0,945.0,1565.0,1965.0,,59819.59,4414.73,66.93
2025-12-15,1505.0,1970.0,2350.0,1825.0,7175.0,960.0,1470.0,1965.0,,61074.73,4507.36,66.61
2025-12-16,1490.0,1970.0,2310.0,1805.0,7100.0,955.0,1715.0,2010.0,,60770.94,4484.94,66.78
2025-12-17,1490.0,2030.0,2290.0,1815.0,7025.0,960.0,1670.0,2000.0,,61061.18,4506.36,66.94
2025-12-18,1480.0,2170.0,2200.0,1900.0,7075.0,955.0,1630.0,1975.0,,62070.25,4580.83,67.69
